Post ID,Price
1173,6700
1167,9800
1161,13700
1155,6800
1149,8600
1140,12900
1134,8600
1130,9000
1126,7600
1122,19600
1118,10700
1113,9000
1109,190000
1105,79000
1101,76500
1097,78300
1093,145000
1089,90000
1086,150000
